factor,period,quantile,N_days,ann_ret,ann_vol,sharpe,max_dd,win_rate
MA_Dev_20d,ALL,Q4,1551,0.043835154522204656,0.12784022936978773,0.18644486668793148,-0.3360716056983637,0.5087040618955513
MA_Dev_20d,ALL,Q5,1551,-0.037654045598933816,0.18723575214761137,-0.3079222046945447,-0.6101331570556454,0.4990328820116054
MA_Dev_20d,ALL,LS,1551,-0.2791202271532821,0.22464671385389265,-1.331513922557648,-0.9248696390002278,0.4590586718246293
MA_Dev_20d,IS,Q1,951,0.4115936292398201,0.1964163660674415,1.993691447816332,-0.25810170483249517,0.5657202944269191
MA_Dev_20d,IS,Q2,951,0.08132643274385787,0.14051880141701947,0.4364286638188623,-0.23634193302955941,0.5362776025236593
MA_Dev_20d,IS,Q3,951,0.06256657667460197,0.1266664923009766,0.33605238371532437,-0.26863086979958795,0.5226077812828601
MA_Dev_20d,IS,Q4,951,0.0914473937652438,0.13928241093280913,0.5129678132848414,-0.2563346893720122,0.5289169295478444
MA_Dev_20d,IS,Q5,951,-0.019879565487907036,0.17895024856391314,-0.22285280857636705,-0.4651726523659576,0.5131440588853838
MA_Dev_20d,IS,LS,951,-0.3060251281744697,0.2208841747615478,-1.4760003903694108,-0.8450995235659778,0.45636172450052576
MA_Dev_20d,OOS,Q1,600,0.22066423936883295,0.16160979344418358,1.241658906260145,-0.13285679454201194,0.53
MA_Dev_20d,OOS,Q2,600,0.05410054328265379,0.09834419933354219,0.34674686980773595,-0.1617013196311906,0.52
MA_Dev_20d,OOS,Q3,600,-0.029224449760647753,0.09225142760425695,-0.5335901138767449,-0.22594759640801543,0.49333333333333335
MA_Dev_20d,OOS,Q4,600,-0.02742804122431064,0.10718753682821089,-0.4424772005006833,-0.1931699952461713,0.4766666666666667
MA_Dev_20d,OOS,Q5,600,-0.06517123709691619,0.19980486353740087,-0.42627209162490304,-0.37490341567550256,0.4766666666666667
MA_Dev_20d,OOS,LS,600,-0.23433237029016385,0.23061775070382456,-1.1028308511116964,-0.5690606709047822,0.4633333333333333
MA_Dev_50d,ALL,Q1,1521,0.33087460942739133,0.18326250803550223,1.6963350156005048,-0.18946930339490864,0.5410913872452334
MA_Dev_50d,ALL,Q2,1521,0.1508350038499373,0.1184437249837742,1.1046174364058596,-0.20547816201781743,0.5483234714003945
MA_Dev_50d,ALL,Q3,1521,0.0904207707483422,0.11995392638537616,0.5870651580182651,-0.3223477386116764,0.5220249835634451
MA_Dev_50d,ALL,Q4,1521,0.005425637276179396,0.1267746786759065,-0.11496272659526337,-0.36652701678306265,0.5108481262327417
MA_Dev_50d,ALL,Q5,1521,-0.04547306786717342,0.19874599429609804,-0.3294308803508743,-0.6465771854465732,0.4917817225509533
MA_Dev_50d,ALL,LS,1521,-0.2830640927035324,0.23661198438805903,-1.2808484468246022,-0.9144613450403796,0.4556213017751479
MA_Dev_50d,IS,Q1,921,0.4290751391053691,0.19401037129105844,2.1085220155146547,-0.18946930339490864,0.5580890336590663
MA_Dev_50d,IS,Q2,921,0.2378891024207781,0.129973249421069,1.676414980708005,-0.20547816201781743,0.5700325732899023
MA_Dev_50d,IS,Q3,921,0.15796534461535727,0.13662140118131358,1.0098369905624092,-0.2359080476215245,0.5287730727470141
MA_Dev_50d,IS,Q4,921,-0.0038827185442530388,0.1393832779562508,-0.17134565131801013,-0.36457081281603076,0.501628664495114
MA_Dev_50d,IS,Q5,921,-0.014051698725144113,0.18703472869766705,-0.18206083416832766,-0.46840161514114187,0.50271444082519
MA_Dev_50d,IS,LS,921,-0.3104577246521735,0.22586834835053993,-1.4630545938172552,-0.8150274029799608,0.4527687296416938
MA_Dev_50d,OOS,Q1,600,0.1930548825421492,0.16532244413385813,1.0467718611880084,-0.16579315659450367,0.515
MA_Dev_50d,OOS,Q2,600,0.028923462633141828,0.09781396750359016,0.0912289201725132,-0.11581517308270228,0.515
MA_Dev_50d,OOS,Q3,600,-0.0057038021373357894,0.08824138711132291,-0.29128964286235187,-0.19992559840714164,0.5116666666666667
MA_Dev_50d,OOS,Q4,600,0.019882771483989314,0.10460872432344154,-0.001120638042083614,-0.17121966104583763,0.525
MA_Dev_50d,OOS,Q5,600,-0.09177535998528907,0.2156111261917501,-0.518411836900678,-0.44004122583979965,0.475
MA_Dev_50d,OOS,LS,600,-0.23889186074797164,0.2523603472029191,-1.0258816950342862,-0.5947913367412514,0.46
HV_20d,ALL,Q1,1550,0.031061346562371472,0.06853990639930439,0.16138549267822946,-0.14344259765306588,0.5174193548387097
HV_20d,ALL,Q2,1550,0.0758825405608321,0.10660203216906701,0.5242164658944248,-0.21832493332310843,0.5161290322580645
HV_20d,ALL,Q3,1550,0.12275528969501703,0.1251940102181351,0.8207684178818031,-0.21359000739191147,0.5296774193548387
HV_20d,ALL,Q4,1550,0.044124175280058076,0.15420385514232318,0.15644339927683748,-0.3296313304304427,0.5103225806451613
HV_20d,ALL,Q5,1550,0.13430311331101397,0.23700687004540824,0.48227763730694634,-0.36688632143886224,0.5174193548387097
HV_20d,ALL,LS,1550,0.10014481449520041,0.21432486778229717,0.37394080922335327,-0.3405427452220746,0.5245161290322581
HV_20d,IS,Q1,950,0.04259868462407912,0.07377982172955391,0.30629898655646637,-0.14344259765306588,0.5126315789473684
HV_20d,IS,Q2,950,0.09765218005084142,0.11993563971562538,0.6474487503044084,-0.21832493332310843,0.5231578947368422
HV_20d,IS,Q3,950,0.15235003119136703,0.1389207802646491,0.9527014672623884,-0.21359000739191147,0.5368421052631579
HV_20d,IS,Q4,950,0.08898407168999878,0.16096696909882222,0.42856041880025386,-0.31867308355893176,0.5178947368421053
HV_20d,IS,Q5,950,0.2101097912087606,0.24371346184451975,0.7800545352313927,-0.33384345056299947,0.5336842105263158
HV_20d,IS,LS,950,0.1606967119364544,0.21696367997046537,0.648480482796047,-0.3405427452220746,0.5421052631578948
HV_20d,OOS,Q1,600,0.013053378005194904,0.05934625410506758,-0.11705240877556791,-0.08695488536576035,0.525
HV_20d,OOS,Q2,600,0.042289996961456966,0.08118290708528646,0.2745651487700518,-0.12203947426536998,0.505
HV_20d,OOS,Q3,600,0.0774374180185371,0.09972170515534466,0.5759770947464459,-0.1138979085605819,0.5183333333333333
HV_20d,OOS,Q4,600,-0.023169654150247965,0.1428689698866451,-0.3021625632528853,-0.23922947101242265,0.49833333333333335
HV_20d,OOS,Q5,600,0.023832655862919827,0.2260249692919811,0.01695678081463985,-0.2774432865256672,0.49166666666666664
HV_20d,OOS,LS,600,0.010640958141844514,0.21014305111267279,-0.044536527896596644,-0.2577564998078067,0.49666666666666665
AtrRatio_14d,ALL,Q1,1557,0.014313963483748804,0.06120975488571318,-0.09289428665198528,-0.14503112208757196,0.4964675658317277
AtrRatio_14d,ALL,Q2,1557,0.05198744792429788,0.09878740234755376,0.32380088112611427,-0.2093263656355091,0.5247270391779062
AtrRatio_14d,ALL,Q3,1557,0.07636430443314901,0.1252306393927032,0.4500839787010876,-0.3184404457378368,0.5138086062941555
AtrRatio_14d,ALL,Q4,1557,0.06939098070630179,0.15766516763605526,0.3132650124744924,-0.24819338808288693,0.5183044315992292
AtrRatio_14d,ALL,Q5,1557,0.15696012161818573,0.2532145686355173,0.5408856305394071,-0.3264200597263077,0.5228002569043031
AtrRatio_14d,ALL,LS,1557,0.14064195298274917,0.23183737885138905,0.5203731752854328,-0.335765803278235,0.5343609505459217
AtrRatio_14d,IS,Q1,957,0.021915435575686537,0.06773110044088564,0.02828000081525755,-0.1250116284974031,0.5047021943573667
AtrRatio_14d,IS,Q2,957,0.08771611557556924,0.11233824764086907,0.6027877147598826,-0.15828850054484234,0.5329153605015674
AtrRatio_14d,IS,Q3,957,0.07809422408186273,0.13784997982232727,0.4214307768252087,-0.3184404457378368,0.5235109717868338
AtrRatio_14d,IS,Q4,957,0.12280768131548547,0.16397405529903314,0.6269752926949271,-0.2309817197445201,0.5318704284221526
AtrRatio_14d,IS,Q5,957,0.21227289193671228,0.2636419765138749,0.7292954425510211,-0.32331717945207583,0.5370950888192267
AtrRatio_14d,IS,LS,957,0.1862933023308888,0.23813087412283804,0.6983273502162834,-0.335765803278235,0.5538140020898642
AtrRatio_14d,OOS,Q1,600,0.0023059817753232625,0.04909087729403035,-0.36043393803492696,-0.09447604720485059,0.48333333333333334
AtrRatio_14d,OOS,Q2,600,-0.002596400805159216,0.07204231317660893,-0.3136545706099833,-0.1336131770564878,0.5116666666666667
AtrRatio_14d,OOS,Q3,600,0.07361080173231582,0.10203090648915589,0.5254368855187396,-0.1051161522271834,0.49833333333333335
AtrRatio_14d,OOS,Q4,600,-0.010619465172831632,0.14703912222393214,-0.20824026088920705,-0.21810112231790513,0.49666666666666665
